mi1_root_id,postion_x,postion_y,postion_z,m6_x,m6_y,m6_z,theta,phi,hemisphere
720575940608810798,815116,302192,137920,788265,297661,153811,4.2,52.9,R
720575940608927534,802912,197824,160680,782001,205385,174978,51.9,50,R
720575940609063800,788868,322464,118680,766055,313422,139257,-4,70.4,R
720575940609312860,703800,366468,136040,699810,364501,140528,-56.7,101.3,R
720575940609453010,806204,224420,145520,784964,227843,161809,37.3,63.4,R
720575940609463620,761100,199152,121200,748862,208129,138174,42,114.1,R
720575940609555406,820544,355144,186720,795569,339497,194561,-7.2,17.2,R
720575940609667083,779132,372328,157320,756576,359399,167433,-26.1,39.1,R
720575940609758217,838412,241716,173320,809091,244282,184434,30.1,32.9,R
720575940609925589,777776,254736,105960,763655,253167,129573,19.9,95.5,R
720575940610007598,773040,294080,102640,757730,289725,125126,5.6,92,R
720575940610177941,770224,210384,118080,757968,219059,137636,36.8,102.7,R
720575940610277956,711208,361892,121640,702076,353211,129882,-45.7,106.5,R
720575940610316664,834712,323112,175040,805377,313102,185227,4.2,24.2,R
720575940610418296,790384,190560,149440,771282,199415,165384,55,70.9,R
720575940610438898,738656,376636,134240,723282,362076,147894,-40.8,64.7,R
720575940610460402,843316,226916,201920,815694,232468,209622,36.4,10.2,R
720575940610533582,788152,273612,111200,770362,272165,133430,12.5,84,R
720575940610578786,794960,356128,149880,769834,344568,163052,-15.1,43.5,R
720575940610580578,821748,355048,204800,795957,341899,210412,-7.2,3.3,R
720575940610674090,837588,235300,178000,810803,240161,189168,32.5,27.5,R
720575940610695338,801436,283108,119880,781371,276916,143386,10.9,70.8,R
720575940610739882,737944,244808,96760,729083,244545,113374,15.5,137.4,R
720575940610740394,772620,309120,106440,755344,303263,127553,-0.9,88.1,R
720575940610772174,842816,237548,187440,814788,240708,198243,32.2,21.1,R
720575940610903854,773124,391452,189280,753757,376357,193342,-37.7,13.5,R
720575940610934340,849212,273624,186360,818326,270630,196973,17.5,18.7,R
720575940610952198,831328,222264,179800,805176,226582,189178,38.4,27,R
720575940610952982,770892,352208,121520,750408,338416,141860,-19.9,68,R
720575940610953478,832492,219788,185560,806409,222703,194398,40.5,22.7,R
720575940610979590,829104,253104,156600,801588,254560,170421,24.3,44.7,R
